image_id,image_label,success_rate,incidentType,timeOfDay,roadConditions,weatherConditions,injuries,vehicleDamage,thirdPartyVehicle,witnesses,policeReport,policeReportFiledWithin24h,trafficViolation,previousClaims,description
0,0,84.92030917442199,Fire,Evening,Poor Visibility,Heavy Rain,no,fraud-related-damage,yes,no,yes,1,0,0,A brief description of the incident.
1,0,46.73966481739327,Theft,Morning,Construction Zone,Heavy Rain,no,fraud-related-damage,yes,no,no,0,0,2,A brief description of the incident.
2,0,75.4380607944723,Vandalism,Evening,Dry,Rain,no,fraud-related-damage,yes,yes,yes,1,0,1,A brief description of the incident.
3,0,79.55571771452492,Fire,Night,Construction Zone,Heavy Rain,no,fraud-related-damage,yes,yes,yes,1,0,0,A brief description of the incident.
4,0,63.21083667232291,Theft,Afternoon,Dry,Heavy Rain,no,fraud-related-damage,yes,no,yes,0,0,0,A brief description of the incident.
5,0,67.43476206553797,Natural Disaster,Afternoon,Poor Visibility,Heavy Rain,no,fraud-related-damage,yes,no,yes,0,0,0,A brief description of the incident.
6,0,84.1069912819591,Theft,Morning,Dry,Clear,no,fraud-related-damage,no,no,no,1,0,0,A brief description of the incident.
7,0,57.53893256528655,Natural Disaster,Night,Construction Zone,Rain,no,fraud-related-damage,no,no,yes,0,0,1,A brief description of the incident.
8,0,49.89406620144504,Collision,Night,Poor Visibility,Clear,no,fraud-related-damage,no,no,yes,1,0,3,A brief description of the incident.
9,0,67.54329153244859,Fire,Afternoon,Dry,Heavy Rain,no,fraud-related-damage,no,no,yes,1,0,2,A brief description of the incident.
10,0,63.95778322022367,Fire,Afternoon,Wet,Heavy Rain,no,fraud-related-damage,no,no,yes,1,1,0,A brief description of the incident.
11,0,88.31563185091002,Natural Disaster,Evening,Poor Visibility,Heavy Rain,no,fraud-related-damage,yes,no,yes,1,0,0,A brief description of the incident.
12,0,79.80334764064014,Vandalism,Night,Construction Zone,Heavy Rain,no,fraud-related-damage,yes,no,yes,1,0,0,A brief description of the incident.
13,0,82.96011012353169,Fire,Morning,Poor Visibility,Fog,no,fraud-related-damage,no,no,yes,1,0,0,A brief description of the incident.
14,0,81.7751682472307,Theft,Night,Poor Visibility,Heavy Rain,no,fraud-related-damage,no,no,yes,1,0,0,A brief description of the incident.
15,0,51.35739331117487,Theft,Morning,Poor Visibility,Clear,no,fraud-related-damage,no,no,no,0,1,0,A brief description of the incident.
16,0,89.62352382040464,Vandalism,Morning,Dry,Heavy Rain,no,fraud-related-damage,yes,yes,yes,1,0,0,A brief description of the incident.
17,0,76.3616317874775,Collision,Morning,Construction Zone,Rain,no,fraud-related-damage,no,no,no,1,0,0,A brief description of the incident.
18,0,62.74957312445829,Theft,Evening,Dry,Fog,no,fraud-related-damage,no,no,yes,0,0,0,A brief description of the incident.
19,0,87.5569890727483,Collision,Night,Dry,Clear,no,fraud-related-damage,no,yes,yes,1,0,0,A brief description of the incident.
20,0,79.04281607562311,Vandalism,Afternoon,Construction Zone,Clear,yes,fraud-related-damage,no,yes,yes,1,0,0,A brief description of the incident.
21,0,83.54419955065977,Theft,Afternoon,Poor Visibility,Fog,no,fraud-related-damage,no,yes,yes,1,0,0,A brief description of the incident.
22,0,79.37825947526304,Vandalism,Night,Construction Zone,Rain,no,fraud-related-damage,yes,yes,yes,1,0,0,A brief description of the incident.
23,0,90.16945781943606,Collision,Afternoon,Dry,Clear,no,fraud-related-damage,no,no,yes,1,0,0,A brief description of the incident.
24,0,63.542832942614695,Collision,Evening,Poor Visibility,Fog,yes,fraud-related-damage,yes,yes,yes,0,0,0,A brief description of the incident.
25,0,80.08020749532558,Vandalism,Evening,Wet,Clear,no,fraud-related-damage,yes,no,yes,1,0,0,A brief description of the incident.
26,0,84.09781832401097,Collision,Afternoon,Poor Visibility,Fog,no,fraud-related-damage,no,no,no,1,0,0,A brief description of the incident.
27,0,81.54422787902321,Vandalism,Night,Dry,Heavy Rain,no,fraud-related-damage,no,no,yes,1,0,0,A brief description of the incident.
28,0,80.51697713654374,Fire,Night,Dry,Clear,no,fraud-related-damage,no,no,yes,1,0,0,A brief description of the incident.
29,0,69.69787327698543,Fire,Morning,Dry,Fog,no,fraud-related-damage,no,yes,yes,0,0,0,A brief description of the incident.
30,0,64.94059226839698,Theft,Evening,Construction Zone,Fog,no,fraud-related-damage,yes,no,no,1,0,2,A brief description of the incident.
31,0,57.666983383199906,Fire,Evening,Construction Zone,Clear,no,fraud-related-damage,no,no,no,1,0,3,A brief description of the incident.
32,0,53.49488244246668,Vandalism,Evening,Dry,Rain,no,fraud-related-damage,no,no,no,1,0,3,A brief description of the incident.
33,0,62.7728120155777,Natural Disaster,Afternoon,Wet,Fog,no,fraud-related-damage,no,no,yes,0,0,0,A brief description of the incident.
34,0,82.37404976818907,Collision,Morning,Wet,Heavy Rain,no,fraud-related-damage,yes,no,yes,1,0,0,A brief description of the incident.
35,0,63.2770139218909,Theft,Morning,Construction Zone,Rain,no,fraud-related-damage,no,yes,no,0,0,0,A brief description of the incident.
36,0,84.36846692226995,Collision,Evening,Wet,Rain,yes,fraud-related-damage,no,no,yes,1,0,0,A brief description of the incident.
37,0,58.65384924119171,Vandalism,Evening,Poor Visibility,Heavy Rain,no,fraud-related-damage,no,no,yes,0,0,0,A brief description of the incident.
38,0,66.40300580380688,Fire,Morning,Dry,Rain,no,fraud-related-damage,yes,yes,yes,0,0,0,A brief description of the incident.
39,0,43.44584809132832,Collision,Afternoon,Poor Visibility,Heavy Rain,no,fraud-related-damage,no,no,yes,0,0,2,A brief description of the incident.
40,0,67.11067835738925,Natural Disaster,Morning,Poor Visibility,Clear,no,fraud-related-damage,yes,yes,yes,0,0,0,A brief description of the incident.
41,0,45.08060566095708,Vandalism,Evening,Construction Zone,Rain,yes,fraud-related-damage,no,no,yes,0,1,0,A brief description of the incident.
42,0,65.53291118296241,Vandalism,Morning,Wet,Heavy Rain,no,fraud-related-damage,yes,yes,yes,0,0,0,A brief description of the incident.
43,0,67.63913826452423,Theft,Morning,Dry,Heavy Rain,no,fraud-related-damage,yes,yes,yes,1,1,0,A brief description of the incident.
44,0,74.64384899854255,Vandalism,Afternoon,Construction Zone,Fog,no,fraud-related-damage,yes,yes,yes,1,0,0,A brief description of the incident.
45,0,80.93723493943544,Vandalism,Morning,Poor Visibility,Heavy Rain,no,fraud-related-damage,no,no,yes,1,0,0,A brief description of the incident.
46,0,62.827885178739365,Theft,Evening,Construction Zone,Rain,no,fraud-related-damage,no,no,no,0,0,0,A brief description of the incident.
47,0,66.73426480247048,Vandalism,Evening,Poor Visibility,Clear,no,fraud-related-damage,yes,no,yes,0,0,0,A brief description of the incident.
48,0,63.282574751864075,Theft,Evening,Dry,Clear,no,fraud-related-damage,yes,yes,yes,0,0,0,A brief description of the incident.
49,0,59.72178746435534,Fire,Evening,Construction Zone,Heavy Rain,no,fraud-related-damage,yes,yes,yes,0,0,1,A brief description of the incident.
50,0,62.12022924840367,Natural Disaster,Morning,Construction Zone,Rain,yes,fraud-related-damage,yes,no,no,1,0,2,A brief description of the incident.
51,0,79.05768322708353,Theft,Evening,Wet,Clear,no,fraud-related-damage,yes,yes,yes,1,0,0,A brief description of the incident.
52,0,60.99171539557996,Vandalism,Night,Construction Zone,Clear,no,fraud-related-damage,no,no,yes,0,0,0,A brief description of the incident.
53,0,48.14253226074846,Vandalism,Evening,Dry,Rain,no,fraud-related-damage,no,yes,yes,0,0,1,A brief description of the incident.
54,0,57.4199379815037,Vandalism,Evening,Dry,Clear,yes,fraud-related-damage,no,yes,yes,0,0,1,A brief description of the incident.
55,0,84.7721970086921,Fire,Afternoon,Dry,Fog,no,fraud-related-damage,no,yes,no,1,0,0,A brief description of the incident.
56,0,67.26533293465674,Theft,Afternoon,Wet,Clear,no,fraud-related-damage,yes,no,yes,1,1,0,A brief description of the incident.
57,0,50.535203596265156,Collision,Morning,Construction Zone,Rain,no,fraud-related-damage,no,yes,yes,0,0,1,A brief description of the incident.
58,0,63.134037718997064,Fire,Afternoon,Poor Visibility,Clear,no,fraud-related-damage,no,no,yes,1,1,0,A brief description of the incident.
59,0,80.86909664657217,Collision,Morning,Poor Visibility,Clear,no,fraud-related-damage,no,no,no,1,0,0,A brief description of the incident.
60,0,72.56992078705784,Theft,Evening,Poor Visibility,Heavy Rain,no,fraud-related-damage,yes,no,no,1,0,1,A brief description of the incident.
61,0,75.99829163726679,Fire,Night,Wet,Fog,no,fraud-related-damage,no,no,no,1,0,1,A brief description of the incident.
62,0,60.5274468882012,Theft,Afternoon,Poor Visibility,Rain,no,fraud-related-damage,yes,no,yes,0,0,0,A brief description of the incident.
63,0,67.48840089964901,Fire,Evening,Dry,Rain,no,fraud-related-damage,yes,no,yes,0,0,0,A brief description of the incident.
64,0,81.207323883565,Fire,Evening,Poor Visibility,Heavy Rain,yes,fraud-related-damage,no,yes,yes,1,0,0,A brief description of the incident.
65,0,84.10946159581106,Vandalism,Evening,Dry,Fog,no,fraud-related-damage,yes,no,yes,1,0,0,A brief description of the incident.
66,0,36.88366861079062,Theft,Morning,Wet,Fog,no,fraud-related-damage,no,yes,yes,0,1,1,A brief description of the incident.
67,0,64.23476851896234,Vandalism,Night,Dry,Fog,no,fraud-related-damage,yes,yes,yes,1,1,0,A brief description of the incident.
68,0,55.794200284089754,Theft,Night,Dry,Fog,no,fraud-related-damage,no,no,yes,0,0,1,A brief description of the incident.
69,0,63.932848401917965,Theft,Morning,Construction Zone,Clear,no,fraud-related-damage,yes,no,yes,0,0,0,A brief description of the incident.
70,0,65.4239820030773,Natural Disaster,Night,Poor Visibility,Rain,no,fraud-related-damage,no,no,yes,0,0,0,A brief description of the incident.
71,0,77.53609078735316,Natural Disaster,Evening,Poor Visibility,Clear,no,fraud-related-damage,no,no,yes,1,0,0,A brief description of the incident.
72,0,70.14010193739838,Vandalism,Evening,Dry,Fog,no,fraud-related-damage,no,no,yes,1,0,1,A brief description of the incident.
73,0,53.98213548218109,Collision,Afternoon,Construction Zone,Heavy Rain,no,fraud-related-damage,no,no,no,1,1,1,A brief description of the incident.
74,0,46.50060848773276,Collision,Afternoon,Dry,Rain,no,fraud-related-damage,yes,no,yes,0,0,2,A brief description of the incident.
75,0,80.28096780035712,Vandalism,Afternoon,Construction Zone,Fog,no,fraud-related-damage,no,no,yes,1,0,0,A brief description of the incident.
76,0,64.56677254692643,Natural Disaster,Afternoon,Poor Visibility,Rain,no,fraud-related-damage,no,no,yes,1,1,0,A brief description of the incident.
77,0,69.51859706203895,Fire,Morning,Wet,Fog,no,fraud-related-damage,no,yes,yes,1,0,1,A brief description of the incident.
78,0,62.24732540450739,Collision,Afternoon,Wet,Clear,no,fraud-related-damage,yes,no,yes,1,0,2,A brief description of the incident.
79,0,82.63945853845782,Theft,Night,Poor Visibility,Heavy Rain,no,fraud-related-damage,no,yes,yes,1,0,0,A brief description of the incident.
80,0,85.7612774283368,Collision,Evening,Construction Zone,Clear,no,fraud-related-damage,yes,no,yes,1,0,0,A brief description of the incident.
81,0,66.735223154773,Collision,Night,Dry,Fog,no,fraud-related-damage,yes,yes,yes,0,0,0,A brief description of the incident.
82,0,76.49212524225916,Fire,Morning,Dry,Fog,no,fraud-related-damage,no,no,no,1,0,0,A brief description of the incident.
83,0,68.41470866419797,Fire,Evening,Poor Visibility,Heavy Rain,no,fraud-related-damage,no,yes,yes,0,0,0,A brief description of the incident.
84,0,62.84071030382279,Theft,Night,Dry,Clear,no,fraud-related-damage,yes,no,yes,1,0,2,A brief description of the incident.
85,0,66.57177209534217,Theft,Night,Construction Zone,Clear,no,fraud-related-damage,no,yes,no,1,0,2,A brief description of the incident.
86,0,67.44710062184662,Vandalism,Morning,Wet,Heavy Rain,yes,fraud-related-damage,no,no,no,1,1,0,A brief description of the incident.
87,0,48.67383832623818,Fire,Morning,Wet,Heavy Rain,no,fraud-related-damage,no,yes,yes,0,1,0,A brief description of the incident.
88,0,63.046326412605396,Collision,Afternoon,Wet,Fog,yes,fraud-related-damage,no,no,yes,1,0,2,A brief description of the incident.
89,0,87.13112826825552,Natural Disaster,Evening,Poor Visibility,Rain,no,fraud-related-damage,no,no,no,1,0,0,A brief description of the incident.
90,0,82.7453470514076,Vandalism,Evening,Dry,Rain,no,fraud-related-damage,yes,yes,yes,1,0,0,A brief description of the incident.
91,0,78.67981874539677,Theft,Morning,Construction Zone,Heavy Rain,no,fraud-related-damage,no,no,yes,1,0,0,A brief description of the incident.
92,0,35.59342002303133,Theft,Morning,Poor Visibility,Fog,no,fraud-related-damage,yes,no,yes,0,1,1,A brief description of the incident.
93,0,86.25965471512671,Theft,Evening,Poor Visibility,Rain,no,fraud-related-damage,no,no,yes,1,0,0,A brief description of the incident.
94,0,76.93613576891728,Natural Disaster,Morning,Dry,Heavy Rain,no,fraud-related-damage,yes,yes,yes,1,0,0,A brief description of the incident.
95,0,36.90642537729595,Vandalism,Evening,Construction Zone,Heavy Rain,no,fraud-related-damage,no,no,yes,0,1,1,A brief description of the incident.
96,0,77.84880680333642,Natural Disaster,Night,Construction Zone,Clear,no,fraud-related-damage,no,no,yes,1,0,0,A brief description of the incident.
97,0,74.46043580585244,Natural Disaster,Afternoon,Wet,Rain,no,fraud-related-damage,yes,yes,yes,1,0,1,A brief description of the incident.
98,0,81.8721767366831,Vandalism,Morning,Wet,Rain,no,fraud-related-damage,no,no,yes,1,0,0,A brief description of the incident.
99,0,69.77122637579586,Fire,Morning,Dry,Heavy Rain,no,fraud-related-damage,no,yes,yes,1,0,1,A brief description of the incident.
100,0,85.10632345662995,Theft,Evening,Poor Visibility,Clear,no,fraud-related-damage,no,yes,no,1,0,0,A brief description of the incident.
101,0,89.11314612523157,Vandalism,Afternoon,Poor Visibility,Rain,no,fraud-related-damage,no,no,yes,1,0,0,A brief description of the incident.
102,0,85.92230314735619,Natural Disaster,Morning,Construction Zone,Fog,no,fraud-related-damage,no,no,yes,1,0,0,A brief description of the incident.
103,0,83.21339516895155,Natural Disaster,Morning,Dry,Heavy Rain,no,fraud-related-damage,no,no,no,1,0,0,A brief description of the incident.
104,0,54.15149690783591,Fire,Evening,Poor Visibility,Clear,no,fraud-related-damage,no,yes,no,0,0,1,A brief description of the incident.
105,0,71.55074389103868,Natural Disaster,Night,Construction Zone,Rain,yes,fraud-related-damage,no,no,no,0,0,0,A brief description of the incident.
106,0,81.21888574774398,Natural Disaster,Night,Poor Visibility,Clear,no,fraud-related-damage,no,yes,yes,1,0,0,A brief description of the incident.
107,0,84.05965982915396,Natural Disaster,Evening,Wet,Fog,no,fraud-related-damage,yes,no,yes,1,0,0,A brief description of the incident.
108,0,80.50351359034347,Fire,Night,Wet,Fog,no,fraud-related-damage,no,no,no,1,0,0,A brief description of the incident.
109,0,83.80677145011855,Collision,Evening,Poor Visibility,Clear,no,fraud-related-damage,yes,no,yes,1,0,0,A brief description of the incident.
